segment,property_key,address,property_name,organization,tower_status,tower_lifecycle_events,recent_tower_lifecycle_events_365d,commercial_disposition,latest_source_event_date,latest_recent_permit_activity_date,permit_project_keys,recent_permit_project_keys_365d,renewal_priorities,property_management_company,property_type,confirmed_storeys,confirmed_units,year_built,air_conditioning_type,explicit_tower_evidence_descriptions,explicit_tower_source_urls
TDSB_HIGH_RENEWAL_CONFIRMED_TOWER,tdsb-schno:3430,"100 Princess Ave, North York, ON, M2N 3R7",Earl Haig Secondary School,Toronto District School Board,CONFIRMED,,,OWNER_REPORTED_HIGH_RENEWAL_NEED,,,,,HIGH | MEDIUM,,,,,,,| Chilled Water Systems - Cooling Towers Renewal | Medium,https://www.tdsb.on.ca/Find-your/Schools/School-FCI/schno/3430
TDSB_HIGH_RENEWAL_CONFIRMED_TOWER,tdsb-schno:1924,"650 Cosburn Ave, East York, ON, M4C 2V2",East York Collegiate Institute,Toronto District School Board,CONFIRMED,,,OWNER_REPORTED_HIGH_RENEWAL_NEED,,,,,HIGH,,,,,,,| Chilled Water Systems - Cooling Tower Renewal | High,https://www.tdsb.on.ca/Find-your/Schools/School-FCI/schno/1924
TDSB_HIGH_RENEWAL_CONFIRMED_TOWER,tdsb-schno:3127,"25 Forest Manor Rd, North York, ON, M2J 1M4",Forest Manor Public School,Toronto District School Board,CONFIRMED,,,OWNER_REPORTED_HIGH_RENEWAL_NEED,,,,,HIGH,,,,,,,| Chilled Water Systems - Cooling Tower Renewal | High,https://www.tdsb.on.ca/Find-your/Schools/School-FCI/schno/3127
TDSB_HIGH_RENEWAL_CONFIRMED_TOWER,tdsb-schno:2063,"85 Mount Olive Dr, Etobicoke, ON, M9V 2C9",Highfield Junior School,Toronto District School Board,CONFIRMED,,,OWNER_REPORTED_HIGH_RENEWAL_NEED,,,,,HIGH,,,,,,,| Chilled Water Systems - Cooling Towers Renewal | High,https://www.tdsb.on.ca/Find-your/Schools/School-FCI/schno/2063
TDSB_HIGH_RENEWAL_CONFIRMED_TOWER,tdsb-schno:2021,"44 Cordova Ave, Etobicoke, ON, M9A 2H5",Islington Junior Middle School,Toronto District School Board,CONFIRMED,,,OWNER_REPORTED_HIGH_RENEWAL_NEED,,,,,HIGH | MEDIUM,,,,,,,| Chilled Water Systems - Cooling Tower Renewal | Medium,https://www.tdsb.on.ca/Find-your/Schools/School-FCI/schno/2021
TDSB_HIGH_RENEWAL_CONFIRMED_TOWER,tdsb-schno:2040,"1 York Rd, Etobicoke, ON, M9R 3C8",Kingsview Village Junior School,Toronto District School Board,CONFIRMED,,,OWNER_REPORTED_HIGH_RENEWAL_NEED,,,,,HIGH,,,,,,,| Chilled Water Systems - Cooling Tower Renewal | High,https://www.tdsb.on.ca/Find-your/Schools/School-FCI/schno/2040
TDSB_HIGH_RENEWAL_CONFIRMED_TOWER,tdsb-schno:5219,"350 Parliament St, Toronto, ON, M5A 2Z7",Lord Dufferin Junior and Senior Public School,Toronto District School Board,CONFIRMED,,,OWNER_REPORTED_HIGH_RENEWAL_NEED,,,,,HIGH | MEDIUM,,,,,,,| Chilled Water Systems - Cooling Towers Renewal | Medium,https://www.tdsb.on.ca/Find-your/Schools/School-FCI/schno/5219
TDSB_HIGH_RENEWAL_CONFIRMED_TOWER,tdsb-schno:5262,"78 Seaforth Ave, Toronto, ON, M6K 3L2",Parkdale Junior and Senior Public School,Toronto District School Board,CONFIRMED,,,OWNER_REPORTED_HIGH_RENEWAL_NEED,,,,,HIGH,,,,,,,| Chilled Water Systems - Cooling Tower Renewal | High,https://www.tdsb.on.ca/Find-your/Schools/School-FCI/schno/5262
TDSB_HIGH_RENEWAL_CONFIRMED_TOWER,tdsb-schno:4175,"720 Midland Ave, Scarborough, ON, M1K 4C9",Scarborough Centre for Alternative Studies,Toronto District School Board,CONFIRMED,,,OWNER_REPORTED_HIGH_RENEWAL_NEED,,,,,HIGH,,,,,,,| Chilled Water Systems - Cooling Tower Renewal | High,https://www.tdsb.on.ca/Find-your/Schools/School-FCI/schno/4175
TDSB_HIGH_RENEWAL_CONFIRMED_TOWER,tdsb-schno:2001,"544 Horner Ave, Etobicoke, ON, M8W 2C2",Sir Adam Beck Junior School,Toronto District School Board,CONFIRMED,,,OWNER_REPORTED_HIGH_RENEWAL_NEED,,,,,HIGH | MEDIUM,,,,,,,| Chilled Water Systems - Cooling Tower Renewal | Medium,https://www.tdsb.on.ca/Find-your/Schools/School-FCI/schno/2001
